,date,open,high,low,close,volume
2272,2021-03-15,15048.40,15048.40,14745.85,14929.50,467473376
2273,2021-03-16,14996.10,15051.60,14890.65,14910.45,437651328
2274,2021-03-17,14946.55,14956.55,14696.05,14721.30,479352160
2275,2021-03-18,14855.50,14875.20,14478.60,14557.85,542216896
2276,2021-03-19,14471.15,14788.25,14350.10,14744.00,919178176
2277,2021-03-22,14736.30,14763.90,14597.85,14736.40,458997056
2278,2021-03-23,14768.55,14878.60,14707.00,14814.75,474150080
2279,2021-03-24,14712.45,14752.35,14535.00,14549.40,456403520
2280,2021-03-25,14570.90,14575.60,14264.40,14324.90,606820992
2281,2021-03-26,14506.30,14572.90,14414.25,14507.30,481000864
2282,2021-03-30,14628.50,14876.30,14617.60,14845.10,594520576
2283,2021-03-31,14811.85,14813.75,14670.25,14690.70,436874720
2284,2021-04-01,14798.40,14883.20,14692.45,14867.35,430028480
2285,2021-04-05,14837.70,14849.85,14459.50,14637.80,500476672
2286,2021-04-06,14737.00,14779.10,14573.90,14683.50,474211168
2287,2021-04-07,14716.45,14879.80,14649.85,14819.05,476382016
2288,2021-04-08,14875.65,14984.15,14821.10,14873.80,503728192
2289,2021-04-09,14882.65,14918.45,14785.65,14834.85,498347616
2290,2021-04-12,14644.65,14652.50,14248.70,14310.80,638475840
2291,2021-04-13,14364.90,14528.90,14274.90,14504.80,588666048
2292,2021-04-15,14522.40,14597.55,14353.20,14581.45,556851200
2293,2021-04-16,14599.60,14697.70,14559.00,14617.85,568568768
2294,2021-04-19,14306.60,14382.30,14191.40,14359.45,503142912
2295,2021-04-20,14526.70,14526.95,14207.30,14296.40,456704736
2296,2021-04-22,14219.15,14424.75,14151.40,14406.15,516985248
2297,2021-04-23,14326.35,14461.15,14273.30,14341.35,476613600
2298,2021-04-26,14449.45,14557.50,14421.30,14485.00,448533344
2299,2021-04-27,14493.80,14667.55,14484.85,14653.05,442211712
2300,2021-04-28,14710.50,14890.25,14694.95,14864.55,453990816
2301,2021-04-29,14979.00,15044.35,14814.45,14894.90,511466656
2302,2021-04-30,14747.35,14855.45,14601.70,14631.10,594744512
2303,2021-05-03,14481.05,14673.85,14416.25,14634.15,443410848
2304,2021-05-04,14687.25,14723.40,14461.50,14496.50,479657056
2305,2021-05-05,14604.15,14637.90,14506.60,14617.85,437261088
2306,2021-05-06,14668.35,14743.90,14611.50,14724.80,445281504
2307,2021-05-07,14816.85,14863.05,14765.50,14823.15,483677280
2308,2021-05-10,14928.25,14966.90,14892.50,14942.35,510598592
2309,2021-05-11,14789.70,14900.00,14771.40,14850.75,616204480
2310,2021-05-12,14823.55,14824.05,14649.70,14696.50,620318208
2311,2021-05-14,14749.40,14749.65,14591.90,14677.80,602738560
2312,2021-05-17,14756.25,14938.00,14725.35,14923.15,534516160
2313,2021-05-18,15067.20,15137.25,15043.70,15108.10,571923072
2314,2021-05-19,15058.60,15133.40,15008.85,15030.15,563293696
2315,2021-05-20,15042.60,15069.80,14884.90,14906.05,467455680
2316,2021-05-21,14987.80,15190.00,14985.85,15175.30,557730496
2317,2021-05-24,15211.35,15256.25,15145.45,15197.70,566722880
2318,2021-05-25,15291.75,15293.85,15163.40,15208.45,417323456
2319,2021-05-26,15257.05,15319.90,15194.95,15301.45,377682048
2320,2021-05-27,15323.95,15384.55,15272.50,15337.85,682374336
2321,2021-05-28,15421.20,15469.65,15394.75,15435.65,455582464
2322,2021-05-31,15437.75,15606.35,15374.00,15582.80,435999456
2323,2021-06-01,15629.65,15660.75,15528.30,15574.85,409562304
2324,2021-06-02,15520.35,15597.45,15459.85,15576.20,428641696
2325,2021-06-03,15655.55,15705.10,15611.00,15690.35,410240576
2326,2021-06-04,15712.50,15733.60,15622.35,15670.25,414162240
2327,2021-06-07,15725.10,15773.45,15678.10,15751.65,393970048
2328,2021-06-08,15773.90,15778.80,15680.00,15740.10,378164640
2329,2021-06-09,15766.30,15800.45,15566.90,15635.35,457855744
2330,2021-06-10,15692.10,15751.25,15648.50,15737.75,298297024
2331,2021-06-11,15796.45,15835.55,15749.80,15799.35,363011296
